Epic,Feature/User Story,Type,Priority,Sprint,Est. Effort (PD),Acceptance Criteria,Notes
"Rep Console (AI)","Rep can copy AI response to clipboard for pasting into ticket",Functional,Med,3,1,"One-click copy button; clipboard API integration; success toast notification","UX: Copy button prominent near AI response"
"Rep Console (AI)","Rep can provide feedback (thumbs up/down) on AI responses",Functional,Med,4,1,"POST /feedback submits rating; feedback stored in app.ai_feedback with ticket context","Enables continuous improvement and confidence validation"
"Admin Analytics","Admin can view organization-wide ticket volume metrics",Functional,High,4,2,"Dashboard displays: total tickets, tickets by status, tickets by priority, trend charts","Uses admin analytics endpoints (GET /admin/analytics)"
"Admin Analytics","Admin can view representative performance metrics",Functional,High,4,2,"Dashboard shows: tickets handled per rep, avg resolution time, AI usage per rep","Identifies high/low performers for coaching"
"Admin Analytics","Admin can view RAG usage analytics (confidence distributions, low-confidence queries)",Functional,High,4,3,"Dashboard displays: confidence score distribution, list of queries with confidence <60%, document citation frequency","Identifies knowledge gaps for documentation improvement"
"Admin Analytics","Admin can export analytics reports (CSV)",Functional,Med,5,2,"Export button generates CSV with selected date range and metrics","Future: PDF reports with charts"
"Multi-Tenancy","User can create new organization",Functional,High,1,2,"POST /organizations creates org; user automatically assigned as owner role","First-time users auto-provisioned with default organization"
"Multi-Tenancy","User can switch between organizations",Functional,High,1,1,"OrganizationSelector dropdown in frontend; X-Organization-ID header sent with all API requests","Frontend context management via React Context API"
"Multi-Tenancy","User can invite members to organization",Functional,Med,5,2,"POST /organizations/{org_id}/members sends invite (future: email); invited user gains access after accepting","Requires email notification system (future)"
"Multi-Tenancy","System enforces data isolation via PostgreSQL RLS",Non-Functional,High,1,3,"All queries filtered by organization_id; 20+ RLS policies across 12 tables; zero cross-tenant data leakage","Critical security requirement; validated via penetration testing"
"Multi-Tenancy","System maintains separate FAISS indices per organization",Non-Functional,High,2,2,"FAISS indices stored in /data/faiss/{org_id}/kb.index; lazy loading on first query","Prevents cross-organization vector pollution"
"Security","System validates JWT tokens on all protected endpoints",Non-Functional,High,1,2,"JWT verification with Supabase public key; issuer and expiry checks; invalid tokens return 401","Uses PyJWT library"
"Security","System enforces rate limiting (10-200 req/min by endpoint)",Non-Functional,High,4,2,"SlowAPI integration: auth (10/min), AI (10/min), create (20/min), general (100/min), read (200/min); 429 status on exceeded limits","IP-based rate limiting; future: user-based limits"
"Security","System applies security headers to all responses",Non-Functional,High,4,1,"SecurityHeadersMiddleware adds: CSP, HSTS, X-Frame-Options, X-Content-Type-Options, Referrer-Policy","Protects against XSS, clickjacking, MIME sniffing"
"Security","System validates X-Organization-ID header on all org-scoped endpoints",Non-Functional,High,1,2,"OrganizationContextMiddleware extracts and validates org_id; verifies user membership; rejects unauthorized access","Prevents org_id spoofing attacks"
"CI/CD","Automated tests run on every pull request",Non-Functional,High,5,2,"GitHub Actions workflow: ci-development.yml; frontend and backend tests run in parallel; 100% pass rate required for merge","11-step quality pipeline: TypeScript, ESLint, Prettier, pytest, etc."
"CI/CD","Code quality checks (linting, formatting) enforced",Non-Functional,Med,5,1,"Frontend: ESLint, Prettier; Backend: Black, isort; failures block PR merge","Maintains code consistency across team"
"CI/CD","Security vulnerability scanning on dependencies",Non-Functional,High,5,2,"npm audit (frontend), Snyk (frontend), Bandit (backend), Safety (backend); critical vulnerabilities block deployment","Continuous security posture"
"CI/CD","Automated deployment to staging and production",Non-Functional,Med,5,2,"deploy-staging.yml triggers on develop branch push; deploy-production.yml triggers on main branch tag; Vercel (frontend) + Railway (backend)","Environment-specific secrets managed via GitHub Secrets"
"Performance","API response times <200ms for CRUD operations",Non-Functional,High,1,2,"Ticket creation, status updates, message posting complete in <200ms; database queries optimized with indexes","43+ indexes across 12 tables for performance"
"Performance","RAG query latency <5s end-to-end",Non-Functional,High,3,3,"Embedding generation + FAISS search + Gemini generation completes in <5s; timeout at 30s","Async architecture prevents blocking"
"Performance","Database query latency <100ms for complex analytics",Non-Functional,Med,4,2,"Admin analytics queries (ticket volume, rep performance) complete in <100ms; uses materialized views or query optimization","Future: caching layer for analytics"
"Performance","System supports 100+ concurrent organizations without degradation",Non-Functional,Med,6,3,"Load testing with 100 orgs; no >20% latency increase; horizontal scaling via backend replicas","Scalability validation for SaaS growth"
